Masses	Intensities
40.926	1.1275e1
40.963	1.5091e1
41.000	1.8455e1
41.037	2.1774e1
41.074	2.3596e1
41.111	2.4050e1
41.148	2.4357e1
41.185	2.2642e1
41.222	1.6672e1
41.259	9.3660e0
41.296	3.6588e0
41.333	2.2459e0
41.370	1.9638e0
41.407	2.0897e0
41.444	2.4419e0
41.481	3.0231e0
41.519	2.7441e0
41.556	2.8362e0
41.593	2.9909e0
41.630	2.9559e0
41.667	2.3690e0
41.704	2.2716e0
41.741	3.2547e0
41.778	4.5057e0
41.815	4.5536e0
41.852	6.0676e0
41.889	8.7968e0
41.926	1.1319e1
41.963	1.4369e1
42.000	1.8070e1
42.037	2.0238e1
42.074	2.4673e1
42.111	2.4787e1
42.148	2.3534e1
42.185	1.9896e1
42.222	1.4538e1
42.259	7.9465e0
42.296	3.3184e0
42.333	2.5968e0
42.370	2.6301e0
42.407	3.2374e0
42.444	4.2480e0
42.481	5.4515e0
42.519	5.3043e0
42.556	5.9995e0
42.593	6.9907e0
42.630	6.5477e0
42.667	6.4814e0
42.704	6.4639e0
42.741	7.9639e0
42.778	1.1610e1
42.815	1.4944e1
42.852	1.7868e1
42.889	2.6103e1
42.926	3.6817e1
42.963	4.6355e1
43.000	5.8377e1
43.037	6.7012e1
43.074	7.4762e1
43.111	7.6053e1
43.148	7.3849e1
43.185	5.9513e1
43.222	3.6625e1
43.259	1.6900e1
43.296	7.4979e0
43.333	4.2475e0
43.370	3.8560e0
43.407	4.1063e0
43.444	5.0928e0
43.481	5.0545e0
43.519	6.3230e0
43.556	7.8901e0
43.593	8.7571e0
43.630	1.0109e1
43.667	1.4323e1
43.704	2.4747e1
43.741	6.0112e1
43.778	9.1506e1
43.815	1.0605e2
43.852	1.3823e2
43.889	1.9001e2
43.926	2.5617e2
43.963	3.3560e2
44.000	4.0517e2
44.037	4.5632e2
44.074	4.8059e2
44.111	4.8602e2
44.148	4.4559e2
44.185	3.4239e2
44.222	1.8788e2
44.259	5.6929e1
44.296	2.1430e1
44.333	1.1553e1
44.370	8.3538e0
44.407	5.8297e0
44.444	4.8386e0
44.481	4.2071e0
44.519	2.9609e0
44.556	2.5960e0
44.593	2.2131e0
44.630	2.0039e0
44.667	1.9037e0
44.704	2.0298e0
44.741	2.5547e0
44.778	3.2132e0
44.815	3.7434e0
44.852	3.9492e0
44.889	5.5053e0
44.926	7.4393e0
44.963	8.8130e0
45.000	1.0752e1
45.037	1.1720e1
45.074	1.2280e1
45.111	1.3443e1
45.148	1.1746e1
45.185	1.0760e1
45.222	6.6332e0
45.259	2.5571e0
45.296	1.4432e0
45.333	1.0545e0
45.370	1.2513e0
45.407	1.2098e0
45.444	1.4170e0
45.481	1.4692e0
45.519	1.2109e0
45.556	1.2675e0
45.593	1.4425e0
45.630	1.4616e0
45.667	1.6526e0
45.704	1.8623e0
45.741	3.1479e0
45.778	4.6385e0
45.815	5.0062e0
45.852	6.2776e0
45.889	7.8020e0
45.926	9.6573e0
45.963	1.1870e1
46.000	1.3884e1
46.037	1.4669e1
46.074	1.5197e1
46.111	1.4629e1
46.148	1.2945e1
46.185	8.3185e0
46.222	4.3639e0
46.259	2.1639e0
46.296	1.3700e0
46.333	1.0908e0
46.370	1.2322e0
46.407	1.0886e0
46.444	1.0502e0
46.481	1.0471e0
46.519	0.9244e0
46.556	1.1527e0
46.593	1.2693e0
46.630	1.0690e0
46.667	1.4747e0
46.704	1.8662e0
46.741	2.6975e0
46.778	3.7082e0
46.815	3.3869e0
46.852	5.8383e0
46.889	6.5545e0
46.926	7.6289e0
46.963	9.9066e0
47.000	1.1658e1
47.037	1.1071e1
47.074	1.1317e1
47.111	1.2111e1
47.148	9.5105e0
47.185	6.0489e0
47.222	2.8632e0
47.259	1.4305e0
47.296	1.0378e0
47.333	0.9413e0
47.370	1.0819e0
47.407	1.2523e0
47.444	1.2039e0
47.481	1.3030e0
47.519	1.3457e0
47.556	1.6021e0
47.593	2.1513e0
47.630	3.1659e0
47.667	5.7079e0
47.704	1.3300e1
47.741	1.9370e1
47.778	2.6757e1
47.815	3.5519e1
47.852	4.9264e1
47.889	6.3870e1
47.926	7.7438e1
47.963	8.6921e1
48.000	9.4205e1
48.037	9.7544e1
48.074	9.6912e1
48.111	9.2159e1
48.148	7.3457e1
48.185	4.0775e1
48.222	1.3255e1
48.259	5.9094e0
48.296	3.6953e0
48.333	2.4648e0
48.370	1.6817e0
48.407	1.4544e0
48.444	1.3306e0
48.481	1.3517e0
48.519	1.2963e0
48.556	1.3126e0
48.593	1.2190e0
48.630	1.3524e0
48.667	1.7034e0
48.704	2.9885e0
48.741	4.4830e0
48.778	6.7316e0
48.815	8.1817e0
48.852	1.1267e1
48.889	1.4140e1
48.926	1.9596e1
